WARNING:tensorflow:From /home/er3s56/onsager_deep_learning/tools/problems.py:45: to_float (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.cast instead.
WARNING:tensorflow:From /usr/local/lib/python2.7/dist-packages/tensorflow/python/framework/op_def_library.py:263: colocate_with (from tensorflow.python.framework.ops) is deprecated and will be removed in a future version.
Instructions for updating:
Colocations handled automatically by placer.
WARNING:tensorflow:From /usr/local/lib/python2.7/dist-packages/tensorflow/python/ops/math_ops.py:3066: to_int32 (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.cast instead.
norms xval:224.5516510 yval:224.0477230
Linear trainrate=0.5 fine tuning all H0:0,theta0:0,vs0:0,H1:0,G1:0,vs1:0,theta1:0,H2:0,G2:0,vs2:0,theta2:0

i=0      nmse=-1.705712 dB (best=-1.705712)

i=10     nmse=-1.738880 dB (best=-1.738880)
i=20     nmse=-1.771154 dB (best=-1.771154)
i=30     nmse=-1.802469 dB (best=-1.802469)
i=40     nmse=-1.832883 dB (best=-1.832883)
i=50     nmse=-1.862320 dB (best=-1.862320)
i=60     nmse=-1.890840 dB (best=-1.890839)
i=70     nmse=-1.918360 dB (best=-1.918360)
i=80     nmse=-1.944939 dB (best=-1.944939)
i=90     nmse=-1.970611 dB (best=-1.970611)
i=100    nmse=-1.995378 dB (best=-1.995378)
i=110    nmse=-2.019337 dB (best=-2.019337)
i=2210   nmse=-2.942327 dB (best=-2.942327)
i=2220   nmse=-2.942801 dB (best=-2.942801)
i=2230   nmse=-2.943257 dB (best=-2.943257)
i=2240   nmse=-2.943758 dB (best=-2.943758)
i=2250   nmse=-2.944310 dB (best=-2.944310)
i=2260   nmse=-2.944839 dB (best=-2.944839)
i=2270   nmse=-2.945215 dB (best=-2.945215)
i=2280   nmse=-2.945457 dB (best=-2.945456)
i=2290   nmse=-2.945812 dB (best=-2.945812)
i=2300   nmse=-2.946247 dB (best=-2.946247)
i=2310   nmse=-2.946668 dB (best=-2.946668)
i=2320   nmse=-2.947060 dB (best=-2.947060)
i=2330   nmse=-2.947467 dB (best=-2.947467)
i=2340   nmse=-2.947949 dB (best=-2.947949)
i=2350   nmse=-2.948384 dB (best=-2.948384)
i=2360   nmse=-2.948785 dB (best=-2.948785)
i=2370   nmse=-2.949174 dB (best=-2.949174)
i=2380   nmse=-2.949533 dB (best=-2.949533)
i=2390   nmse=-2.949962 dB (best=-2.949962)
i=2400   nmse=-2.950412 dB (best=-2.950412)
i=2410   nmse=-2.950902 dB (best=-2.950902)
i=2420   nmse=-2.951256 dB (best=-2.951256)
i=2430   nmse=-2.951600 dB (best=-2.951600)
i=2440   nmse=-2.951995 dB (best=-2.951995)
i=2450   nmse=-2.952354 dB (best=-2.952354)
i=2460   nmse=-2.952614 dB (best=-2.952613)
i=2470   nmse=-2.952927 dB (best=-2.952927)
i=2480   nmse=-2.953350 dB (best=-2.953350)
i=2490   nmse=-2.953726 dB (best=-2.953726)
i=2500   nmse=-2.954028 dB (best=-2.954028)
i=2510   nmse=-2.954442 dB (best=-2.954442)
i=2520   nmse=-2.954746 dB (best=-2.954746)
i=2530   nmse=-2.955065 dB (best=-2.955065)
i=2540   nmse=-2.955395 dB (best=-2.955395)
i=2550   nmse=-2.955664 dB (best=-2.955664)
i=2560   nmse=-2.956055 dB (best=-2.956055)
i=2570   nmse=-2.956407 dB (best=-2.956407)
i=2580   nmse=-2.956756 dB (best=-2.956756)
i=2590   nmse=-2.957030 dB (best=-2.957030)
i=2600   nmse=-2.957304 dB (best=-2.957304)
i=2610   nmse=-2.957594 dB (best=-2.957594)
i=2620   nmse=-2.957851 dB (best=-2.957851)
i=2630   nmse=-2.958066 dB (best=-2.958066)
i=2640   nmse=-2.958245 dB (best=-2.958245)
i=2650   nmse=-2.958561 dB (best=-2.958561)
i=2660   nmse=-2.958829 dB (best=-2.958829)
i=2670   nmse=-2.959050 dB (best=-2.959050)
i=2680   nmse=-2.959376 dB (best=-2.959376)
i=2690   nmse=-2.959763 dB (best=-2.959763)
i=2700   nmse=-2.960252 dB (best=-2.960252)
i=2710   nmse=-2.960710 dB (best=-2.960710)
i=2720   nmse=-2.960933 dB (best=-2.960933)
i=2730   nmse=-2.961214 dB (best=-2.961214)
i=2740   nmse=-2.961443 dB (best=-2.961443)
i=2750   nmse=-2.961698 dB (best=-2.961698)
i=2760   nmse=-2.961937 dB (best=-2.961937)
i=2770   nmse=-2.962160 dB (best=-2.962160)
i=2780   nmse=-2.962345 dB (best=-2.962345)
i=2790   nmse=-2.962659 dB (best=-2.962659)
i=2800   nmse=-2.962990 dB (best=-2.962989)
i=2810   nmse=-2.963345 dB (best=-2.963345)
i=2820   nmse=-2.963736 dB (best=-2.963736)
i=2830   nmse=-2.963988 dB (best=-2.963988)
i=2840   nmse=-2.964264 dB (best=-2.964264)
i=2850   nmse=-2.964454 dB (best=-2.964454)
i=2860   nmse=-2.964657 dB (best=-2.964657)
i=2870   nmse=-2.964881 dB (best=-2.964881)
i=2880   nmse=-2.965073 dB (best=-2.965073)
i=2890   nmse=-2.965244 dB (best=-2.965244)
i=2900   nmse=-2.965454 dB (best=-2.965454)
i=2910   nmse=-2.965674 dB (best=-2.965674)
i=2920   nmse=-2.965867 dB (best=-2.965866)
i=2930   nmse=-2.966191 dB (best=-2.966191)
i=2940   nmse=-2.966471 dB (best=-2.966471)
i=2950   nmse=-2.966641 dB (best=-2.966640)
i=2960   nmse=-2.966850 dB (best=-2.966849)
i=2970   nmse=-2.966976 dB (best=-2.966976)
i=2980   nmse=-2.967168 dB (best=-2.967168)
i=2990   nmse=-2.967369 dB (best=-2.967369)
i=3000   nmse=-2.967669 dB (best=-2.967669)

i=3010   nmse=-2.968020 dB (best=-2.968019)
i=3020   nmse=-2.968210 dB (best=-2.968210)
i=3030   nmse=-2.968364 dB (best=-2.968364)
i=3040   nmse=-2.968538 dB (best=-2.968538)
i=3050   nmse=-2.968693 dB (best=-2.968693)
i=3060   nmse=-2.968771 dB (best=-2.968771)
i=3070   nmse=-2.969011 dB (best=-2.969011)
i=3080   nmse=-2.969180 dB (best=-2.969180)
i=3090   nmse=-2.969300 dB (best=-2.969300)
i=3100   nmse=-2.969377 dB (best=-2.969377)
i=3110   nmse=-2.969506 dB (best=-2.969506)
i=3120   nmse=-2.969719 dB (best=-2.969719)
i=3130   nmse=-2.969927 dB (best=-2.969926)
i=3140   nmse=-2.970158 dB (best=-2.970158)
i=3150   nmse=-2.970358 dB (best=-2.970358)
i=3160   nmse=-2.970575 dB (best=-2.970575)
i=3170   nmse=-2.970731 dB (best=-2.970731)
i=3180   nmse=-2.971025 dB (best=-2.971025)
i=3190   nmse=-2.971274 dB (best=-2.971274)
i=3200   nmse=-2.971534 dB (best=-2.971534)
i=3210   nmse=-2.971658 dB (best=-2.971658)
i=3220   nmse=-2.971916 dB (best=-2.971917)
i=3230   nmse=-2.972189 dB (best=-2.972189)
i=3240   nmse=-2.972421 dB (best=-2.972421)
i=3250   nmse=-2.972597 dB (best=-2.972597)
i=3260   nmse=-2.972841 dB (best=-2.972841)
i=3270   nmse=-2.972969 dB (best=-2.972969)
i=3280   nmse=-2.973081 dB (best=-2.973081)
i=3290   nmse=-2.973235 dB (best=-2.973235)
i=3300   nmse=-2.973348 dB (best=-2.973347)
i=3310   nmse=-2.973440 dB (best=-2.973440)
i=3320   nmse=-2.973466 dB (best=-2.973466)
i=3330   nmse=-2.973516 dB (best=-2.973516)
i=3340   nmse=-2.973740 dB (best=-2.973740)
i=3350   nmse=-2.973935 dB (best=-2.973935)
i=3360   nmse=-2.974116 dB (best=-2.974116)
i=3370   nmse=-2.974339 dB (best=-2.974338)
i=3380   nmse=-2.974625 dB (best=-2.974625)
i=3390   nmse=-2.974820 dB (best=-2.974819)
i=3400   nmse=-2.974963 dB (best=-2.974963)
i=3410   nmse=-2.975086 dB (best=-2.975085)
i=3420   nmse=-2.975258 dB (best=-2.975258)
i=3430   nmse=-2.975342 dB (best=-2.975342)
i=3440   nmse=-2.975397 dB (best=-2.975397)
i=3450   nmse=-2.975651 dB (best=-2.975651)
i=3460   nmse=-2.975869 dB (best=-2.975869)
i=3470   nmse=-2.976042 dB (best=-2.976042)
i=3480   nmse=-2.976183 dB (best=-2.976183)
i=3490   nmse=-2.976269 dB (best=-2.976269)
i=3500   nmse=-2.976321 dB (best=-2.976321)
i=3510   nmse=-2.976525 dB (best=-2.976525)
i=3520   nmse=-2.976748 dB (best=-2.976748)
i=3530   nmse=-2.976908 dB (best=-2.976908)
i=3540   nmse=-2.977077 dB (best=-2.977077)
i=3550   nmse=-2.977161 dB (best=-2.977161)
i=3560   nmse=-2.977316 dB (best=-2.977316)
i=3570   nmse=-2.977473 dB (best=-2.977474)
i=3580   nmse=-2.977473 dB (best=-2.977474)
i=3590   nmse=-2.977343 dB (best=-2.977474)
i=3600   nmse=-2.977512 dB (best=-2.977513)
i=3610   nmse=-2.977656 dB (best=-2.977656)
i=3620   nmse=-2.977794 dB (best=-2.977794)
i=3630   nmse=-2.977911 dB (best=-2.977911)
i=3640   nmse=-2.977898 dB (best=-2.977911)
i=3650   nmse=-2.977891 dB (best=-2.977911)
i=3660   nmse=-2.978010 dB (best=-2.978010)
i=3670   nmse=-2.978159 dB (best=-2.978159)
i=3680   nmse=-2.978344 dB (best=-2.978344)
i=3690   nmse=-2.978460 dB (best=-2.978460)
i=3700   nmse=-2.978580 dB (best=-2.978580)
i=3710   nmse=-2.978584 dB (best=-2.978584)
i=3720   nmse=-2.978696 dB (best=-2.978696)
i=3730   nmse=-2.978834 dB (best=-2.978834)
i=3740   nmse=-2.978984 dB (best=-2.978984)
i=3750   nmse=-2.979194 dB (best=-2.979194)
i=3760   nmse=-2.979363 dB (best=-2.979363)
i=3770   nmse=-2.979530 dB (best=-2.979530)
i=3780   nmse=-2.979669 dB (best=-2.979669)
i=3790   nmse=-2.979835 dB (best=-2.979835)
i=3800   nmse=-2.979926 dB (best=-2.979926)
i=3810   nmse=-2.979987 dB (best=-2.979986)
i=3820   nmse=-2.980093 dB (best=-2.980093)
i=3830   nmse=-2.980137 dB (best=-2.980136)
i=3840   nmse=-2.980232 dB (best=-2.980232)
i=3850   nmse=-2.980361 dB (best=-2.980361)
i=3860   nmse=-2.980433 dB (best=-2.980433)
i=3870   nmse=-2.980491 dB (best=-2.980491)
i=3880   nmse=-2.980453 dB (best=-2.980491)
i=3890   nmse=-2.980480 dB (best=-2.980491)
i=3900   nmse=-2.980506 dB (best=-2.980506)
i=3910   nmse=-2.980579 dB (best=-2.980579)
i=3920   nmse=-2.980707 dB (best=-2.980707)
i=3930   nmse=-2.980850 dB (best=-2.980850)
i=3940   nmse=-2.980923 dB (best=-2.980923)
i=3950   nmse=-2.981046 dB (best=-2.981046)
i=3960   nmse=-2.981138 dB (best=-2.981138)
i=3970   nmse=-2.981249 dB (best=-2.981249)
i=3980   nmse=-2.981321 dB (best=-2.981321)
i=3990   nmse=-2.981521 dB (best=-2.981521)
i=4000   nmse=-2.981552 dB (best=-2.981552)

i=4010   nmse=-2.981654 dB (best=-2.981653)
i=4020   nmse=-2.981733 dB (best=-2.981733)
i=4030   nmse=-2.981796 dB (best=-2.981796)
i=4040   nmse=-2.981830 dB (best=-2.981830)
i=4050   nmse=-2.981908 dB (best=-2.981908)
i=4060   nmse=-2.982042 dB (best=-2.982042)
i=4070   nmse=-2.982101 dB (best=-2.982101)
i=4080   nmse=-2.982113 dB (best=-2.982113)
i=4090   nmse=-2.982196 dB (best=-2.982196)
i=4100   nmse=-2.982340 dB (best=-2.982341)
i=4110   nmse=-2.982395 dB (best=-2.982395)
i=4120   nmse=-2.982539 dB (best=-2.982539)
i=4130   nmse=-2.982592 dB (best=-2.982592)
i=4140   nmse=-2.982636 dB (best=-2.982636)
i=4150   nmse=-2.982687 dB (best=-2.982687)
i=4160   nmse=-2.982713 dB (best=-2.982713)
i=4170   nmse=-2.982707 dB (best=-2.982713)
i=4180   nmse=-2.982799 dB (best=-2.982799)
i=4190   nmse=-2.982888 dB (best=-2.982887)
i=4200   nmse=-2.982977 dB (best=-2.982977)
i=4210   nmse=-2.983109 dB (best=-2.983109)
i=4220   nmse=-2.983102 dB (best=-2.983109)
i=4230   nmse=-2.983108 dB (best=-2.983109)
i=4240   nmse=-2.983097 dB (best=-2.983109)
